title,author,genre,publication year,price_id
The Mystery of the Lost Key,John Smith,Mystery,2001,59
Through the Pages of Time,Sarah Johnson,Fantasy,1966,60
The Silent Witness,Emily Davis,Thriller,2009,36
A Journey to Remember,Michael Anderson,Adventure,1991,4
The Secrets Within,Lily Roberts,Science Fiction,2016,86
The Enigma Cipher,Robert Thompson,Mystery,1969,47
Echoes of Eternity,Sophia Adams,Fantasy,2005,50
Shadows of Deception,David Roberts,Thriller,2012,26
The Forgotten Island,Olivia Anderson,Adventure,1984,76
Beyond the Stars,Christopher Reed,Science Fiction,1986,80
The Midnight Conspiracy,Emma Roberts,Thriller,1992,69
The Enchanted Realm,David Thompson,Fantasy,1970,55
Whispers in the Shadows,Lily Anderson,Mystery,1983,68
The Lost Expedition,Michael Turner,Adventure,1990,93
Starfall Chronicles,Sophia Adams,Science Fiction,2010,94
The Secret Code,Oliver Jenkins,Mystery,1993,78
Realm of Dragons,Emily Collins,Fantasy,1968,58
Beyond the Horizon,Alexander Harris,Adventure,1994,46
Eternal Echoes,Sarah Mitchell,Romance,1998,33
The Quantum Paradox,Thomas Davis,Science Fiction,2007,88
The Crimson Blade,Emily Turner,Fantasy,1989,85
The Shadow Conspiracy,James Anderson,Thriller,2019,54
Whispers of Destiny,Sophia Roberts,Romance,2020,52
The Forgotten Heir,Oliver Thompson,Mystery,1991,2
Quest for Atlantis,Isabella Adams,Adventure,2022,28
Stellar Odyssey,David Harris,Science Fiction,2015,42
The Enigma Files,Lily Mitchell,Mystery,1963,53
Legend of the Moonstone,Sarah Turner,Fantasy,1974,40
Echoes of the Past,Michael Collins,Historical Fiction,2005,15
The Quantum Cipher,Alexander Jenkins,Science Fiction,2013,66
Beyond the Veil,Emma Davis,Paranormal,2006,35
Whispers in the Wind,Sophia Thompson,Romance,2012,43
The Hidden Artifact,Oliver Anderson,Action,1985,21
The Lost Chronicles,Emily Adams,Fantasy,2007,37
Chronicles of the Unknown,David Roberts,Supernatural,2015,17
The Secret Society,Lily Harris,Thriller,2015,31
Journey to the Stars,Alexander Turner,Science Fiction,2006,23
The Cursed Amulet,Sarah Mitchell,Adventure,1983,27
The Enchanted Forest,Michael Davis,Fantasy,1967,65
The Timekeeper's Legacy,Olivia Roberts,Time Travel,1975,79
The Emerald Blade,Oliver Thompson,Fantasy,1973,71
